HumanGeneID,MouseOrthologGeneID,Symbol,Synonyms,Description,MitoCarta3.0_List,MitoCarta3.0_Evidence,MitoCarta3.0_SubMitoLocalization,MitoCarta3.0_MitoPathways,TrainingDataset,MitoCarta2.0_Score,MitoCarta2.0_FDR,MitoCarta2.0_List,MitoCarta2.0_Evidence,EnsemblGeneID_mapping_version_20200130,UniProt,ProteinLength,TargetP_Score,MitoDomain_Score,CoexpressionGnfN50_Score,PGC_Induction_Score,YeastMitoHomolog_Score,RickettsiaHomolog_Score,MSMS_Score,hg19_Chromosome,hg19_Start,hg19_Stop,MSMS_NUM_TISSUES,MSMS_NUM_PEPTIDES_UNIQUE,MSMS_NUM_SPECTRA,MSMS_TOTAL_INTENSITY,MSMS_PERCENT_COVERAGE,Tissues,cerebrum_total_peak_intensity_log10,cerebellum_total_peak_intensity_log10,brainstem_total_peak_intensity_log10,spinalcord_total_peak_intensity_log10,kidney_total_peak_intensity_log10,liver_total_peak_intensity_log10,heart_total_peak_intensity_log10,skeletalmuscle_total_peak_intensity_log10,adipose_total_peak_intensity_log10,smallintestine_total_peak_intensity_log10,largeintestine_total_peak_intensity_log10,stomach_total_peak_intensity_log10,placenta_total_peak_intensity_log10,testis_total_peak_intensity_log10,HPA_Main_Location_2020 (Reliability)
708,12261.0,C1QBP,COXPD33|GC1QBP|HABP1|SF2AP32|SF2p32|gC1Q-R|gC1qR|p32,complement C1q binding protein,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression, MS/MS++",Matrix,Signaling > Immune response,Tmito,27.8211,0.0,1.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression, MS/MS++",ENSG00000108561,Q07021,282,1.0,SharedDomain,7.0,0.86,OrthologMitoHighConf,NoHomolog,50-75pure,chr17,5336098.0,5342471.0,14.0,13.0,748.0,107000000000.0,66.0,all 14,10.2,10.3,10.1,10.0,9.1,9.8,9.2,9.0,9.6,9.7,9.8,9.3,10.1,9.9,Plasma membrane (Approved)
10531,69617.0,PITRM1,MP1|PreP,pitrilysin metallopeptidase 1,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++",Matrix,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",Tmito,27.8125,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++",ENSG00000107959,Q5JRX3,1038,2.0,MitoDomain,7.0,,OrthologMitoHighConf,NoHomolog,75-100pure,chr10,3179918.0,3215033.0,14.0,83.0,1695.0,66300000000.0,83.0,all 14,9.3,9.2,9.4,8.0,9.8,8.9,8.1,9.4,9.7,8.6,9.8,9.4,10.4,9.9,Mitochondria (Supported)
55245,56046.0,UQCC1,BFZB|C20orf44|CBP3|UQCC,ubiquinol-cytochrome c reductase complex assembly factor 1,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog, mito protein domain+, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,27.746,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog, mito protein domain+, coexpression++, MS/MS++",ENSG00000101019,Q9NVA1,299,3.0,MitoDomain,41.0,,HomologMitoHighConf,NoHomolog,50-75pure,chr20,33890368.0,33999945.0,12.0,14.0,191.0,4560000000.0,56.0,"cerebrum, cerebellum, brainstem, spinalcord, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",8.9,8.7,9.2,8.8,,7.2,,7.7,8.0,7.9,8.2,8.2,8.5,8.3,Plasma membrane (Approved)
128308,67212.0,MRPL55,AAVG5835|L55nt|MRP-L55|PRO19675,mitochondrial ribosomal protein L55,MitoCarta3.0,"literature, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression++, MS/MS+",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Tmito,27.7157,0.0,1.0,"literature, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression++, MS/MS+",ENSG00000162910,Q7Z7F7,164,2.0,MitoDomain,47.0,2.42,NoMitoHomolog,NoHomolog,25-50pure,chr1,228294379.0,228297013.0,13.0,7.0,103.0,1720000000.0,49.0,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis",7.9,7.7,7.7,7.7,8.1,8.1,7.0,,8.1,8.4,8.7,7.7,8.4,7.8,
79922,217038.0,MRM1,-,mitochondrial rRNA methyltransferase 1,MitoCarta3.0,"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression",Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications,Tmito,27.7075,0.0,1.0,"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression",ENSG00000274853|ENSG00000278619,Q6IN84,353,1.0,MitoDomain,5.0,1.16,OrthologMitoHighConf,Homolog,0-25ambig,chr17,34958024.0,34965407.0,3.0,4.0,7.0,33500000.0,13.0,"spinalcord, placenta, testis",,,,6.5,,,,,,,,,7.2,7.2,Mitochondria (Supported)
51102,26922.0,MECR,CGI-63|DYTOABG|ETR1|FASN2B|NRBF1,mitochondrial trans-2-enoyl-CoA reductase,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, coexpression, MS/MS++",Matrix,Metabolism > Lipid metabolism > Type II fatty acid synthesis,Tmito,27.6896,0.0,1.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, coexpression, MS/MS++",ENSG00000116353,Q9BV79,373,1.0,SharedDomain,21.0,,OrthologMitoHighConf,NoHomolog,75-100pure,chr1,29519168.0,29557470.0,14.0,26.0,617.0,28800000000.0,79.0,all 14,8.8,8.7,9.0,8.3,9.5,9.2,8.6,8.8,9.9,8.9,9.8,9.4,9.3,9.2,Mitochondria (Supported)
65080,69163.0,MRPL44,COXPD16|L44MT|MRP-L44,mitochondrial ribosomal protein L44,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, induction, coexpression+, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Tmito,27.6748,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, induction, coexpression+, MS/MS++",ENSG00000135900,Q9H9J2,332,2.0,,31.0,1.49,OrthologMitoHighConf,NoHomolog,50-75pure,chr2,224822120.0,224832431.0,10.0,23.0,129.0,2060000000.0,62.0,"cerebrum, spinalcord, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis",7.1,,,7.2,,7.2,7.9,,8.3,8.4,8.9,7.4,8.7,8.4,Mitochondria (Approved)
84263,72479.0,HSDL2,C9orf99|SDR13C1,hydroxysteroid dehydrogenase like 2,MitoCarta3.0,"APEX_matrix, GFP, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS++",Matrix,0,Tmito,27.6655,0.0,1.0,"APEX_matrix, GFP, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS++",ENSG00000119471,Q6YN16,418,5.0,MitoDomain,36.0,2.84,NoMitoHomolog,Homolog,75-100pure,chr9,115142188.0,115234685.0,14.0,37.0,356.0,10200000000.0,81.0,all 14,7.8,6.9,8.3,8.6,8.4,8.7,9.4,8.7,9.6,8.4,8.5,8.8,7.7,8.6,Mitochondria (Enhanced)
63931,64659.0,MRPS14,COXPD38|DJ262D12.2|HSMRPS14|MRP-S14|S14mt,mitochondrial ribosomal protein S14,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Tmito,27.6264,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",ENSG00000120333,O60783,128,2.0,SharedDomain,9.0,0.44,OrthologMitoHighConf,Ortholog,50-75pure,chr1,174982093.0,174992591.0,13.0,10.0,102.0,1530000000.0,60.0,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",7.8,7.8,7.9,7.4,8.5,7.8,,7.0,7.7,8.1,8.5,7.3,8.5,8.0,Mitochondria;Nuclear membrane (Supported)
11194,74610.0,ABCB8,EST328128|M-ABC1|MABC1|MITOSUR,ATP binding cassette subfamily B member 8,MitoCarta3.0,"literature, targetP signal+, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++",MIM,Small molecule transport > ABC transporters,Tmito,27.5425,0.0,1.0,"literature, targetP signal+, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++",ENSG00000197150,Q9NUT2,735,1.0,SharedDomain,45.0,,HomologMitoLowConf,Homolog,50-75pure,chr7,150725508.0,150744869.0,14.0,34.0,386.0,6250000000.0,55.0,all 14,8.8,8.3,8.7,8.7,9.0,8.2,8.4,8.9,8.7,8.3,8.6,8.7,7.6,8.8,Mitochondria (Supported)
91647,246782.0,ATPAF2,ATP12|ATP12p|LP3663|MC5DN1,ATP synthase mitochondrial F1 complex assembly factor 2,MitoCarta3.0,"literature, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS",Matrix,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,27.4512,0.0,1.0,"literature, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS",ENSG00000171953,Q8N5M1,289,3.0,MitoDomain,18.0,1.61,OrthologMitoHighConf,NoHomolog,50-75ambig,chr17,17921333.0,17942480.0,13.0,12.0,116.0,2050000000.0,56.0,"cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",8.4,8.3,8.3,7.9,,8.1,8.3,7.7,8.4,7.8,8.2,8.1,8.4,8.0,Cytosol (Enhanced)
4704,66108.0,NDUFA9,CC6|CI-39k|CI39k|COQ11|MC1DN26|NDUFS2L|SDR22E1,NADH:ubiquinone oxidoreductase subunit A9,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,27.4053,0.0,1.0,"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression++, MS/MS++",ENSG00000139180,Q16795,377,1.0,SharedDomain,48.0,1.41,NoMitoHomolog,NoHomolog,75-100pure,chr12,4758263.0,4796720.0,14.0,40.0,2407.0,182000000000.0,82.0,all 14,10.2,9.9,10.3,10.1,10.4,9.8,10.4,9.4,10.2,10.1,10.2,9.9,10.0,9.7,Mitochondria;Nucleoplasm (Supported)
388753,67892.0,COA6,C1orf31|CEMCOX4,cytochrome c oxidase assembly factor 6,MitoCarta3.0,"APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS",IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,27.3818,0.0,1.0,"APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS",ENSG00000168275,Q5JTJ3,125,5.0,MitoDomain,36.0,0.79,OrthologMitoHighConf,NoHomolog,50-75ambig,chr1,234509213.0,234519795.0,9.0,7.0,52.0,539000000.0,71.0,"cerebrum, cerebellum, spinalcord, liver, adipose, smallintestine, largeintestine, placenta, testis",8.2,7.2,,6.9,,8.0,,,7.0,7.6,7.0,,7.7,8.1,Mitochondria (Supported)
5442,216151.0,POLRMT,APOLMT|MTRNAP|MTRPOL|h-mtRPOL,RNA polymerase mitochondrial,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, coexpression++, MS/MS",Matrix,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription,Tmito,27.372,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, coexpression++, MS/MS",ENSG00000099821,O00411,1230,3.0,MitoDomain,47.0,,OrthologMitoHighConf,NoHomolog,25-50ambig,chr19,617222.0,633568.0,11.0,34.0,113.0,577000000.0,35.0,"cerebrum, cerebellum, brainstem, spinalcord, kidney, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis",7.5,7.9,7.2,6.5,8.2,,,6.7,6.5,,8.3,6.9,7.4,7.5,Mitochondria (Supported)
23479,66383.0,ISCU,2310020H20Rik|HML|ISU2|NIFU|NIFUN|hnifU,iron-sulfur cluster assembly enzyme,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++",Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,Tmito,27.3227,0.0,1.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++",ENSG00000136003,Q9H1K1,167,1.0,SharedDomain,,,OrthologMitoHighConf,Ortholog,75-100pure,chr12,108956293.0,108963160.0,14.0,19.0,282.0,4630000000.0,81.0,all 14,8.2,8.2,8.7,8.7,9.0,8.5,7.8,6.5,8.7,8.2,8.5,7.9,8.6,8.7,Cytosol (Supported)
84816,170728.0,RTN4IP1,NIMP|OPA10,reticulon 4 interacting protein 1,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog, mito protein domain, induction, coexpression++, MS/MS++",Matrix,0,Tmito,27.2801,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog, mito protein domain, induction, coexpression++, MS/MS++",ENSG00000130347,Q8WWV3,396,3.0,SharedDomain,40.0,0.96,HomologMitoHighConf,NoHomolog,75-100pure,chr6,107018902.0,107077373.0,14.0,28.0,299.0,10700000000.0,77.0,all 14,8.5,8.4,8.8,8.2,9.5,8.7,9.2,9.0,8.8,8.6,8.9,8.5,8.3,8.5,
55753,239017.0,OGDHL,-,oxoglutarate dehydrogenase L,MitoCarta3.0,"APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > TCA cycle,Tmito,27.2563,0.0,1.0,"APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, MS/MS++",ENSG00000197444,Q9ULD0,1010,1.0,MitoDomain,,,OrthologMitoLowConf,Homolog,50-75pure,chr10,50942686.0,50970425.0,14.0,78.0,3832.0,299000000000.0,66.0,all 14,10.6,10.5,10.8,9.8,10.6,9.3,10.4,10.2,10.0,10.3,10.0,10.1,9.9,10.1,Nucleoli fibrillar center (Approved)
509,11949.0,ATP5F1C,ATP5C|ATP5C1|ATP5CL1,ATP synthase F1 subunit gamma,MitoCarta3.0,"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, MS/MS++",MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,Tmito,27.2465,0.0,1.0,"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, MS/MS++",ENSG00000165629,P36542,298,4.0,SharedDomain,,1.54,OrthologMitoHighConf,Ortholog,75-100pure,chr10,7830092.0,7849762.0,14.0,34.0,3012.0,227000000000.0,79.0,all 14,10.3,10.0,10.3,10.4,10.2,10.1,10.4,9.3,10.2,10.4,10.2,10.1,10.3,9.9,
10295,12041.0,BCKDK,BCKDKD|BDK,branched chain keto acid dehydrogenase kinase,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,Tmito,27.1808,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, MS/MS++",ENSG00000103507,O14874,412,2.0,MitoDomain,4.0,,OrthologMitoLowConf,Ortholog,50-75pure,chr16,31119614.0,31124112.0,13.0,16.0,144.0,2920000000.0,50.0,"cerebrum, cerebellum, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",8.0,7.9,,8.4,8.4,7.3,7.5,8.0,8.7,8.1,8.5,8.7,8.7,8.0,Mitochondria (Supported)
84340,320806.0,GFM2,EF-G2mt|EFG2|MRRF2|MST027|MSTP027|RRF|RRF2|RRF2mt|hEFG2|mEF-G 2,GTP dependent ribosome recycling factor mitochondrial 2,MitoCarta3.0,"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Translation factors,Tmito,27.1233,0.0,1.0,"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++",ENSG00000164347,Q969S9,811,,SharedDomain,41.0,,OrthologMitoHighConf,Homolog,50-75pure,chr5,74017028.0,74063196.0,14.0,42.0,350.0,6260000000.0,68.0,all 14,7.3,7.9,7.5,8.1,9.3,8.7,7.6,8.8,8.7,8.1,9.1,8.1,8.8,8.4,Mitochondria (Approved)
29078,68493.0,NDUFAF4,C6orf66|HRPAP20|HSPC125|MC1DN15|My013|bA22L21.1,NADH:ubiquinone oxidoreductase complex assembly factor 4,MitoCarta3.0,"APEX_matrix, GFP, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,27.0562,0.0,1.0,"APEX_matrix, GFP, mito protein domain+, induction, coexpression++, MS/MS++",ENSG00000123545,Q9P032,175,5.0,MitoDomain,44.0,1.45,NoMitoHomolog,NoHomolog,75-100pure,chr6,97337186.0,97345767.0,14.0,21.0,337.0,7270000000.0,80.0,all 14,9.0,8.8,9.0,8.7,8.6,9.2,8.7,8.0,8.5,8.0,8.7,8.2,8.1,8.3,Mitochondria (Supported)
399512,71998.0,SLC25A35,-,solute carrier family 25 member 35,MitoCarta3.0,"APEX_matrix, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++",MIM,Small molecule transport > SLC25A family,Tmito,27.053,0.0,1.0,"APEX_matrix, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++",ENSG00000125434,Q3KQZ1,295,,MitoDomain,17.0,1.87,OrthologMitoLowConf,NoHomolog,75-100pure,chr17,8191081.0,8198170.0,10.0,20.0,176.0,4380000000.0,90.0,"cerebrum, cerebellum, kidney, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",7.4,7.0,,,8.1,,,6.1,8.9,7.3,9.4,8.8,8.0,8.6,Mitochondria;Vesicles (Approved)
8402,67863.0,SLC25A11,OGC|PGL6|SLC20A4,solute carrier family 25 member 11,MitoCarta3.0,"literature, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++",MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport > SLC25A family,Tmito,27.0399,0.0,1.0,"literature, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++",ENSG00000108528,Q02978,314,,MitoDomain,24.0,1.31,OrthologMitoLowConf,NoHomolog,75-100pure,chr17,4840425.0,4843462.0,14.0,30.0,1717.0,122000000000.0,81.0,all 14,10.2,10.0,10.2,10.2,9.6,9.7,10.4,9.3,9.7,9.8,9.6,9.6,9.9,9.3,
26521,30057.0,TIMM8B,DDP2|TIM8B,translocase of inner mitochondrial membrane 8 homolog B,MitoCarta3.0,"literature, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++",MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",Tmito,27.0399,0.0,1.0,"literature, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++",ENSG00000150779,Q9Y5J9,98,,MitoDomain,25.0,1.21,OrthologMitoLowConf,NoHomolog,75-100pure,chr11,111955538.0,111957522.0,13.0,7.0,123.0,3300000000.0,90.0,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis",8.4,8.4,8.4,7.8,8.5,8.7,7.0,,8.2,8.6,8.4,8.5,8.4,8.6,
27349,223722.0,MCAT,FASN2C|MCT|MCT1|MT|NET62|fabD,malonyl-CoA-acyl carrier protein transacylase,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",Matrix,Metabolism > Lipid metabolism > Type II fatty acid synthesis,Tmito,26.9414,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",ENSG00000100294,Q8IVS2,390,2.0,SharedDomain,8.0,,OrthologMitoHighConf,Ortholog,50-75pure,chr22,43528211.0,43539403.0,10.0,14.0,73.0,1140000000.0,51.0,"spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",,,,7.0,8.2,7.6,,7.1,8.4,7.2,7.9,7.2,8.4,8.5,Mitochondria (Supported)
200205,216792.0,IBA57,C1orf69|MMDS3|SPG74,iron-sulfur cluster assembly factor IBA57,MitoCarta3.0,"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,Tmito,26.9414,0.0,1.0,"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",ENSG00000181873,Q5T440,356,2.0,SharedDomain,8.0,,OrthologMitoHighConf,Ortholog,50-75pure,chr1,228353428.0,228369958.0,13.0,16.0,100.0,1730000000.0,58.0,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis",8.1,8.0,8.3,7.4,8.4,8.1,8.0,,8.2,7.1,8.5,7.8,8.3,8.0,Mitochondria (Supported)
11331,12034.0,PHB2,BAP|BCAP37|Bap37|PNAS-141|REA|hBAP|p22,prohibitin 2,MitoCarta3.0,"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++",MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",Tmito,26.919,0.0,1.0,"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++",ENSG00000215021,Q99623,299,,SharedDomain,27.0,1.42,OrthologMitoHighConf,Homolog,75-100pure,chr12,7074514.0,7079916.0,14.0,32.0,1773.0,158000000000.0,92.0,all 14,9.9,9.5,9.7,10.0,10.1,10.1,9.9,8.8,10.2,10.3,10.3,9.7,10.4,10.2,Mitochondria (Enhanced)
7818,65111.0,DAP3,DAP-3|MRP-S29|MRPS29|S29mt|bMRP-10,death associated protein 3,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Tmito,26.8817,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++",ENSG00000132676,P51398,398,2.0,MitoDomain,8.0,,OrthologMitoHighConf,NoHomolog,50-75pure,chr1,155658881.0,155708800.0,14.0,19.0,182.0,4900000000.0,64.0,all 14,7.8,7.6,7.8,8.2,9.0,8.2,7.4,7.1,8.5,9.0,8.8,8.3,9.0,8.4,Mitochondria;Nucleoplasm (Supported)
56942,66531.0,CMC2,2310061C15Rik|C16orf61|DC13,C-X9-C motif containing 2,MitoCarta3.0,"APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS+",IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,26.8622,0.0,1.0,"APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS+",ENSG00000103121,Q9NRP2,79,,MitoDomain,28.0,2.74,OrthologMitoHighConf,NoHomolog,75-100ambig,chr16,81009698.0,81040502.0,10.0,11.0,58.0,205000000.0,90.0,"cerebrum, cerebellum, spinalcord, liver, heart, adipose, largeintestine, stomach, placenta, testis",7.2,7.1,,6.8,,7.6,6.5,,7.5,,7.5,6.9,7.6,7.2,Mitochondria (Supported)
644096,68332.0,SDHAF1,LYRM8,succinate dehydrogenase complex assembly factor 1,MitoCarta3.0,"literature, targetP signal+, yeast mito homolog, mito protein domain+, induction, coexpression+, MS/MS",Matrix,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,26.7868,0.0,1.0,"literature, targetP signal+, yeast mito homolog, mito protein domain+, induction, coexpression+, MS/MS",ENSG00000205138,A6NFY7,115,1.0,MitoDomain,32.0,0.96,HomologMitoHighConf,NoHomolog,25-50ambig,chr19,36486089.0,36487220.0,12.0,6.0,54.0,682000000.0,48.0,"cerebrum, cerebellum, brainstem, spinalcord, kidney, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta, testis",7.8,7.7,8.0,7.1,8.1,,7.6,7.3,7.9,,8.1,7.0,7.4,7.5,Mitochondria (Approved)
51373,66258.0,MRPS17,HSPC011|MRP-S17|RPMS17|S17mt,mitochondrial ribosomal protein S17,MitoCarta3.0,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS+",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Tmito,26.7669,0.0,1.0,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS+",ENSG00000239789,Q9Y2R5,130,3.0,SharedDomain,20.0,0.79,OrthologMitoHighConf,Homolog,75-100ambig,chr7,56019610.0,56023033.0,14.0,11.0,117.0,3050000000.0,76.0,all 14,8.3,8.3,8.3,8.0,8.4,8.4,7.5,7.6,8.1,8.5,8.6,7.7,8.7,8.6,
137872,76187.0,ADHFE1,ADH8|HMFT2263|HOT,alcohol dehydrogenase iron containing 1,MitoCarta3.0,"targetP signal+, yeast mito homolog++, mito protein domain, coexpression, MS/MS++",Matrix,Metabolism > Amino acid metabolism > GABA metabolism,Tpossible_mito,26.7588,0.0,1.0,"targetP signal+, yeast mito homolog++, mito protein domain, coexpression, MS/MS++",ENSG00000147576,Q8IWW8,467,1.0,SharedDomain,29.0,,OrthologMitoHighConf,NoHomolog,50-75pure,chr8,67344717.0,67381044.0,6.0,19.0,110.0,6090000000.0,61.0,"kidney, liver, heart, adipose, stomach, placenta",,,,,9.3,8.6,7.8,,9.5,,,8.6,7.3,,Vesicles (Approved)
9054,18041.0,NFS1,HUSSY-08|IscS|NIFS,NFS1 cysteine desulfurase,MitoCarta3.0,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS++",Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,Tmito,26.7525,0.0,1.0,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain+, coexpression+, MS/MS++",ENSG00000244005,Q9Y697,457,2.0,MitoDomain,38.0,,HomologMitoLowConf,Homolog,50-75pure,chr20,34256609.0,34287287.0,14.0,24.0,214.0,4530000000.0,54.0,all 14,8.6,8.0,8.6,8.3,8.9,8.3,7.8,8.1,8.5,7.9,8.4,8.3,8.9,8.9,Cytosol;Nucleoplasm (Supported)
