Symbol,SubMitoLocalization_raw,MitoPathway_raw,SubMitoLocalization,MitoPathway
MRPL44,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
HSDL2,Matrix,0,Matrix,0
MRPS14,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ABCB8,MIM,Small molecule transport > ABC transporters,MIM,Small molecule transport > ABC transporters
ATPAF2,Matrix,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors,Matrix,OXPHOS > Complex V > CV assembly factors
ATPAF2,Matrix,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors,Matrix,OXPHOS > OXPHOS assembly factors
NDUFA9,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex I > CI subunits
NDUFA9,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
COA6,IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,IMS,OXPHOS > Complex IV > CIV assembly factors
COA6,IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,IMS,OXPHOS > OXPHOS assembly factors
POLRMT,Matrix,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription,Matrix,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication
POLRMT,Matrix,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription,Matrix,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid
POLRMT,Matrix,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtRNA metabolism > Transcription,Matrix,Mitochondrial central dogma > mtRNA metabolism > Transcription
ISCU,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
ISCU,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,Matrix,Metabolism > Metals and cofactors > Fe-S-containing proteins
RTN4IP1,Matrix,0,Matrix,0
OGDHL,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle
ATP5F1C,MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex V > CV subunits
ATP5F1C,MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
BCKDK,Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
BCKDK,Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
GFM2,Matrix,Mitochondrial central dogma > Translation > Translation factors,Matrix,Mitochondrial central dogma > Translation > Translation factors
NDUFAF4,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > Complex I > CI assembly factors
NDUFAF4,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > OXPHOS assembly factors
SLC25A35,MIM,Small molecule transport > SLC25A family,MIM,Small molecule transport > SLC25A family
SLC25A11,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport > SLC25A family,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis
SLC25A11,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport > SLC25A family,MIM,Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle
SLC25A11,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport > SLC25A family,MIM,Metabolism > Carbohydrate metabolism > TCA-associated
SLC25A11,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport > SLC25A family,MIM,Small molecule transport > SLC25A family
TIMM8B,MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",MIM,Protein import
TIMM8B,MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",MIM,sorting and homeostasis > Protein homeostasis > Chaperones | Protein import
TIMM8B,MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",MIM,sorting and homeostasis > Protein import and sorting
MCAT,Matrix,Metabolism > Lipid metabolism > Type II fatty acid synthesis,Matrix,Metabolism > Lipid metabolism > Type II fatty acid synthesis
IBA57,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
PHB2,MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",MIM,Protein import
PHB2,MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",MIM,sorting and homeostasis > Protein homeostasis > Chaperones
DAP3,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
CMC2,IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,IMS,OXPHOS > Complex IV > CIV assembly factors
CMC2,IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,IMS,OXPHOS > OXPHOS assembly factors
SDHAF1,Matrix,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,Matrix,OXPHOS > Complex II > CII assembly factors
SDHAF1,Matrix,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,Matrix,OXPHOS > OXPHOS assembly factors
MRPS17,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ADHFE1,Matrix,Metabolism > Amino acid metabolism > GABA metabolism,Matrix,Metabolism > Amino acid metabolism > GABA metabolism
NFS1,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
NFS1,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,Matrix,Metabolism > Metals and cofactors > Fe-S-containing proteins
NDUFAF5,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > Complex I > CI assembly factors
NDUFAF5,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > OXPHOS assembly factors
MRPL17,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
TACO1,Matrix,Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Matrix,Mitochondrial central dogma > Translation > Translation factors
TACO1,Matrix,Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Matrix,OXPHOS > Complex IV > CIV assembly factors
TACO1,Matrix,Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Matrix,OXPHOS > OXPHOS assembly factors
MFN1,MOM,Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Organelle contact sites,MOM,Mitochondrial dynamics and surveillance > Fusion
MFN1,MOM,Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Organelle contact sites,MOM,Mitochondrial dynamics and surveillance > Organelle contact sites
PPTC7,Matrix,Signaling,Matrix,Signaling
MRPL11,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
COX4I1,MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex IV > CIV subunits
COX4I1,MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
NDUFS6,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex I > CI subunits
NDUFS6,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
MRPL13,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
OXCT1,Matrix,Metabolism > Carbohydrate metabolism > Ketone metabolism,Matrix,Metabolism > Carbohydrate metabolism > Ketone metabolism
COX5B,MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex IV > CIV subunits
COX5B,MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
PDK2,Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
ALAS1,Matrix,Metabolism > Metals and cofactors > Heme synthesis and processing,Matrix,Metabolism > Metals and cofactors > Heme synthesis and processing
MRPL33,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MTO1,Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Vitamin metabolism > Folate and 1-C metabolism,Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications
MTO1,Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Vitamin metabolism > Folate and 1-C metabolism,Matrix,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
LIAS,Matrix,Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Metals and cofactors > Fe-S-containing proteins,Matrix,Metabolism > Lipid metabolism > Lipoate insertion
LIAS,Matrix,Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Metals and cofactors > Fe-S-containing proteins,Matrix,Metabolism > Metals and cofactors > Fe-S-containing proteins
NDUFA5,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex I > CI subunits
NDUFA5,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
NDUFB6,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex I > CI subunits
NDUFB6,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
MTX2,MOM,"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions",MOM,Protein import
MTX2,MOM,"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions",MOM,sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions
SUCLG2,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle
SUCLG2,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,Matrix,Metabolism > Carbohydrate metabolism > Itaconate metabolism
SUCLG2,Matrix,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,Matrix,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
FDX1,Matrix,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Vitamin D metabolism",Matrix,Metabolism > Lipid metabolism > Cholesterol
FDX1,Matrix,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Vitamin D metabolism",Matrix,bile acid
FDX1,Matrix,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Vitamin D metabolism",Matrix,steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins | Metabolism > Vitamin metabolism > Vitamin D metabolism
SLC25A1,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > TCA-associated | Metabolism > Lipid metabolism | Small molecule transport > SLC25A family,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis
SLC25A1,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > TCA-associated | Metabolism > Lipid metabolism | Small molecule transport > SLC25A family,MIM,Metabolism > Carbohydrate metabolism > TCA-associated
SLC25A1,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > TCA-associated | Metabolism > Lipid metabolism | Small molecule transport > SLC25A family,MIM,Metabolism > Lipid metabolism
SLC25A1,MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > TCA-associated | Metabolism > Lipid metabolism | Small molecule transport > SLC25A family,MIM,Small molecule transport > SLC25A family
MRPS28,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
TIMM50,MIM,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway",MIM,Protein import
TIMM50,MIM,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway",MIM,sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway
VDAC2,MOM,Small molecule transport,MOM,Small molecule transport
SLC25A42,MIM,Metabolism > Metals and cofactors > Coenzyme A metabolism | Small molecule transport > SLC25A family,MIM,Metabolism > Metals and cofactors > Coenzyme A metabolism
SLC25A42,MIM,Metabolism > Metals and cofactors > Coenzyme A metabolism | Small molecule transport > SLC25A family,MIM,Small molecule transport > SLC25A family
TOMM7,MOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM | Mitochondrial dynamics and surveillance > Mitophagy | Mitochondrial dynamics and surveillance > Autophagy",MOM,Protein import
TOMM7,MOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM | Mitochondrial dynamics and surveillance > Mitophagy | Mitochondrial dynamics and surveillance > Autophagy",MOM,sorting and homeostasis > Protein import and sorting > TOM | Mitochondrial dynamics and surveillance > Mitophagy | Mitochondrial dynamics and surveillance > Autophagy
ECH1,Matrix,Metabolism > Lipid metabolism,Matrix,Metabolism > Lipid metabolism
GATB,Matrix,Mitochondrial central dogma > Translation > mt-tRNA synthetases,Matrix,Mitochondrial central dogma > Translation > mt-tRNA synthetases
BCS1L,MIM,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > Complex III > CIII assembly factors
BCS1L,MIM,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > OXPHOS assembly factors
ERAL1,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules
ERAL1,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
CMC1,IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,IMS,OXPHOS > Complex IV > CIV assembly factors
CMC1,IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,IMS,OXPHOS > OXPHOS assembly factors
MRPL28,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
TSFM,Matrix,Mitochondrial central dogma > Translation > Translation factors,Matrix,Mitochondrial central dogma > Translation > Translation factors
FXN,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
NFU1,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
NFU1,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,Matrix,Metabolism > Metals and cofactors > Fe-S-containing proteins
YARS2,Matrix,Mitochondrial central dogma > Translation > mt-tRNA synthetases,Matrix,Mitochondrial central dogma > Translation > mt-tRNA synthetases
MRPL21,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ALDH4A1,Matrix,Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Amino acid metabolism > Glyoxylate metabolism,Matrix,Metabolism > Amino acid metabolism > Proline metabolism
ALDH4A1,Matrix,Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Amino acid metabolism > Glyoxylate metabolism,Matrix,Metabolism > Amino acid metabolism > Glyoxylate metabolism
TOMM40L,MOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM",MOM,Protein import
TOMM40L,MOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM",MOM,sorting and homeostasis > Protein import and sorting > TOM
NDUFAF1,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > Complex I > CI assembly factors
NDUFAF1,MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > OXPHOS assembly factors
NDUFB10,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex I > CI subunits
NDUFB10,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
ACADSB,Matrix,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,Matrix,Metabolism > Lipid metabolism > Fatty acid oxidation
ACADSB,Matrix,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
MRPS9,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules
MRPS9,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
COQ8A,MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism
ACADVL,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation
COQ4,MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism
MRPL15,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
NDUFA2,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex I > CI subunits
NDUFA2,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
MRPL24,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
HSPD1,Matrix,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",Matrix,Protein import
HSPD1,Matrix,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",Matrix,sorting and homeostasis > Protein homeostasis > Chaperones
NDUFS5,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex I > CI subunits
NDUFS5,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
AK3,Matrix,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,Matrix,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
CYCS,IMS,Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits | OXPHOS > Cytochrome C | Mitochondrial dynamics and surveillance > Apoptosis,IMS,Metabolism > Metals and cofactors > Heme-containing proteins
CYCS,IMS,Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits | OXPHOS > Cytochrome C | Mitochondrial dynamics and surveillance > Apoptosis,IMS,Metabolism > Electron carriers > Cytochromes
CYCS,IMS,Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits | OXPHOS > Cytochrome C | Mitochondrial dynamics and surveillance > Apoptosis,IMS,OXPHOS > OXPHOS subunits
CYCS,IMS,Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits | OXPHOS > Cytochrome C | Mitochondrial dynamics and surveillance > Apoptosis,IMS,OXPHOS > Cytochrome C
CYCS,IMS,Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits | OXPHOS > Cytochrome C | Mitochondrial dynamics and surveillance > Apoptosis,IMS,Mitochondrial dynamics and surveillance > Apoptosis
MIPEP,Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",Matrix,Protein import
MIPEP,Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",Matrix,sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import
MIPEP,Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",Matrix,sorting and homeostasis > Protein homeostasis > Proteases
LYRM7,Matrix,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,Matrix,OXPHOS > Complex III > CIII assembly factors
LYRM7,Matrix,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,Matrix,OXPHOS > OXPHOS assembly factors
CRAT,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation
PCCB,Matrix,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation,Matrix,Metabolism > Carbohydrate metabolism > Propanoate metabolism
PCCB,Matrix,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation,Matrix,Metabolism > Lipid metabolism > Fatty acid oxidation
MRPS7,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules
MRPS7,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRPL3,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
PRODH,MIM,"Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Electron carriers > Q-linked reactions, other",MIM,Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Electron carriers > Q-linked reactions
PRODH,MIM,"Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Electron carriers > Q-linked reactions, other",MIM,other
PCCA,Matrix,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Vitamin metabolism > Biotin utilizing proteins,Matrix,Metabolism > Carbohydrate metabolism > Propanoate metabolism
PCCA,Matrix,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Vitamin metabolism > Biotin utilizing proteins,Matrix,Metabolism > Lipid metabolism > Fatty acid oxidation
PCCA,Matrix,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Vitamin metabolism > Biotin utilizing proteins,Matrix,Metabolism > Vitamin metabolism > Biotin utilizing proteins
MCCC1,Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Vitamin metabolism > Biotin utilizing proteins,Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
MCCC1,Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Vitamin metabolism > Biotin utilizing proteins,Matrix,Metabolism > Vitamin metabolism > Biotin utilizing proteins
MRPS12,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
CLPB,IMS,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",IMS,Protein import
CLPB,IMS,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",IMS,sorting and homeostasis > Protein homeostasis > Proteases
